date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason
2026-03-08,Turkish Airlines,TU6911,Dubai,Bahrain,UAE,Bahrain,Airbus A380-800,82,Fuel supply disruption
2026-03-08,United Airlines,UN479,Doha,Paris,Qatar,France,Airbus A340-600,230,Airspace closure — NOTAM
2026-03-08,KLM,KL5936,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,94,Security risk — conflict zone
2026-03-08,Emirates SkyCargo,EM2459,New York,Doha,USA,Qatar,Boeing 737 MAX 8,193,Government travel ban
2026-03-08,Pakistan International Airlines,PA1486,New York,Doha,USA,Qatar,Airbus A340-600,333,Crew safety — company policy
2026-03-08,Ethiopian Airlines,ET6556,Frankfurt,Dubai,Germany,UAE,Airbus A320neo,312,Airspace closure — NOTAM
2026-03-08,IndiGo,IN6448,Washington,Abu Dhabi,USA,UAE,Boeing 737 MAX 8,432,Government travel ban
2026-03-08,Emirates SkyCargo,EM8047,Riyadh,London,Saudi Arabia,UK,Boeing 787-9 Dreamliner,374,Diplomatic advisory — do not fly
2026-03-08,Iran Air,IR2347,Karachi,Dubai,Pakistan,UAE,Airbus A321neo,413,Airport closure — military activity
2026-03-08,Emirates SkyCargo,EM338,Beirut,Paris,Lebanon,France,Airbus A330-300,143,Airspace closure — NOTAM
2026-03-08,Thai Airways,TH1425,Mumbai,Doha,India,Qatar,Boeing 787-10 Dreamliner,411,Airspace closure — NOTAM
2026-03-08,Air France,AI4399,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 737 MAX 8,366,Security risk — conflict zone
2026-03-08,Etihad Airways,ET6758,Islamabad,Dubai,Pakistan,UAE,Boeing 737 MAX 8,88,Security risk — conflict zone
2026-03-08,Pakistan International Airlines,PA7253,Dubai,New York,UAE,USA,Boeing 787-10 Dreamliner,334,Fuel supply disruption
2026-03-08,KLM,KL1655,Doha,London,Qatar,UK,Airbus A330-300,245,Security risk — conflict zone
2026-03-08,Delta Air Lines,DE7810,Kuwait City,Cairo,Kuwait,Egypt,Boeing 737 MAX 8,151,Fuel supply disruption
2026-03-08,EgyptAir,EG5245,Riyadh,London,Saudi Arabia,UK,Boeing 777-300ER,296,Diplomatic advisory — do not fly
2026-03-08,Air Arabia,AI9971,Dubai,London,UAE,UK,Airbus A321neo,237,Airport closure — military activity
2026-03-08,Jazeera Airways,JA8400,Beirut,Paris,Lebanon,France,Airbus A320neo,221,Security risk — conflict zone
2026-03-08,Gulf Air,GU565,Karachi,Dubai,Pakistan,UAE,Airbus A350-900,341,Crew safety — company policy
2026-03-08,EgyptAir,EG722,Paris,Doha,France,Qatar,Boeing 777-200LR,241,Crew safety — company policy
2026-03-08,IndiGo,IN2169,Frankfurt,Dubai,Germany,UAE,Airbus A320neo,292,Diplomatic advisory — do not fly
2026-03-08,Emirates,EM5846,Dubai,Bahrain,UAE,Bahrain,Boeing 737-800,325,Airspace closure — NOTAM
2026-03-08,United Airlines,UN1479,Dubai,Paris,UAE,France,Boeing 737-800,270,Airport closure — military activity
2026-03-08,FedEx Express,FE667,Sydney,Dubai,Australia,UAE,Airbus A350-900,413,Fuel supply disruption
2026-03-08,Mahan Air,MA3416,Riyadh,London,Saudi Arabia,UK,Boeing 787-10 Dreamliner,413,Security risk — conflict zone
2026-03-08,United Airlines,UN2629,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A330-300,370,Insurance restriction — war zone
2026-03-08,DHL Aviation,DH7540,Tehran,Moscow,Iran,Russia,Boeing 777-300ER,321,Crew safety — company policy
2026-03-08,flydubai,FL1768,Doha,Paris,Qatar,France,Boeing 787-9 Dreamliner,137,Diplomatic advisory — do not fly
2026-03-08,FedEx Express,FE1231,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 787-9 Dreamliner,333,Airport closure — military activity
2026-03-08,Gulf Air,GU9385,Los Angeles,Doha,USA,Qatar,Airbus A320neo,342,Government travel ban
2026-03-08,Malaysia Airlines,MA267,Singapore,London,Singapore,UK,Boeing 787-10 Dreamliner,246,Government travel ban
2026-03-08,Kuwait Airways,KU8818,London,Muscat,UK,Oman,Airbus A380-800,386,Crew safety — company policy
2026-03-08,Air India,AI2765,Paris,Doha,France,Qatar,Boeing 787-10 Dreamliner,261,Diplomatic advisory — do not fly
2026-03-09,Etihad Airways,ET2940,Kuwait City,Cairo,Kuwait,Egypt,Boeing 777-300ER,411,Airspace closure — NOTAM
2026-03-09,Pakistan International Airlines,PA3502,London,Kuwait City,UK,Kuwait,Boeing 787-9 Dreamliner,301,Fuel supply disruption
2026-03-09,Ethiopian Airlines,ET8255,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 787-9 Dreamliner,137,Airspace closure — NOTAM
2026-03-09,Kuwait Airways,KU8820,Beirut,Paris,Lebanon,France,Boeing 737-800,327,Security risk — conflict zone
2026-03-09,Iran Air,IR2093,Beirut,Paris,Lebanon,France,Boeing 737-800,140,Crew safety — company policy
2026-03-09,Ethiopian Airlines,ET6504,Doha,Mumbai,Qatar,India,Boeing 787-9 Dreamliner,368,Government travel ban
2026-03-09,Jazeera Airways,JA2668,Frankfurt,Dubai,Germany,UAE,Airbus A320neo,367,Crew safety — company policy
2026-03-09,Emirates,EM8354,Dubai,New York,UAE,USA,Airbus A321neo,275,Government travel ban
2026-03-09,Qatar Airways,QA1996,Islamabad,Riyadh,Pakistan,Saudi Arabia,Boeing 737-800,342,Diplomatic advisory — do not fly
2026-03-09,Saudi Arabian Airlines,SA3705,London,Bahrain,UK,Bahrain,Airbus A350-900,184,Fuel supply disruption
2026-03-09,FedEx Express,FE4591,Doha,Paris,Qatar,France,Airbus A340-600,228,Security risk — conflict zone
2026-03-09,DHL Aviation,DH6448,Paris,Dubai,France,UAE,Boeing 737-800,146,Fuel supply disruption
2026-03-09,Emirates,EM476,Singapore,Dubai,Singapore,UAE,Boeing 737-800,142,Security risk — conflict zone
2026-03-09,FedEx Express,FE7034,Sydney,Abu Dhabi,Australia,UAE,Boeing 787-9 Dreamliner,117,Insurance restriction — war zone
2026-03-09,Ethiopian Airlines,ET8204,Doha,London,Qatar,UK,Boeing 787-10 Dreamliner,404,Crew safety — company policy
2026-03-09,Iran Air,IR5412,Lahore,Doha,Pakistan,Qatar,Airbus A350-900,107,Government travel ban
2026-03-09,Emirates SkyCargo,EM5025,Mumbai,Doha,India,Qatar,Airbus A350-900,343,Government travel ban
2026-03-09,Cargolux,CA8648,London,Dubai,UK,UAE,Boeing 777-200LR,106,Government travel ban
2026-03-09,Cathay Pacific,CA7328,Karachi,Dubai,Pakistan,UAE,Airbus A350-900,106,Diplomatic advisory — do not fly
2026-03-09,Air France,AI1194,Doha,Paris,Qatar,France,Boeing 787-9 Dreamliner,116,Diplomatic advisory — do not fly
2026-03-09,Jazeera Airways,JA1728,Dubai,Karachi,UAE,Pakistan,Airbus A320neo,245,Airport closure — military activity
2026-03-09,Etihad Airways,ET1664,Beirut,Paris,Lebanon,France,Airbus A340-600,381,Diplomatic advisory — do not fly
2026-03-09,EgyptAir,EG6306,Dubai,Cairo,UAE,Egypt,Boeing 777-300ER,172,Diplomatic advisory — do not fly
2026-03-09,Malaysia Airlines,MA8563,Mumbai,Doha,India,Qatar,Boeing 787-10 Dreamliner,418,Insurance restriction — war zone
2026-03-09,Qatar Airways,QA2743,Dubai,Paris,UAE,France,Boeing 787-9 Dreamliner,173,Airspace closure — NOTAM
2026-03-09,American Airlines,AM1633,Dubai,Paris,UAE,France,Airbus A380-800,388,Fuel supply disruption
2026-03-09,Air France,AI4770,Muscat,London,Oman,UK,Boeing 777-200LR,210,Airport closure — military activity
2026-03-09,Lufthansa,LU9110,Paris,Doha,France,Qatar,Airbus A320neo,81,Crew safety — company policy
2026-03-09,Pakistan International Airlines,PA4563,Mumbai,Dubai,India,UAE,Airbus A340-600,98,Fuel supply disruption
2026-03-09,Malaysia Airlines,MA2076,Beirut,Paris,Lebanon,France,Boeing 787-10 Dreamliner,237,Crew safety — company policy
2026-03-09,Kuwait Airways,KU8895,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A320neo,404,Fuel supply disruption
2026-03-09,Turkish Airlines,TU9826,Moscow,Tehran,Russia,Iran,Boeing 787-9 Dreamliner,171,Airspace closure — NOTAM
2026-03-09,IndiGo,IN3342,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,409,Diplomatic advisory — do not fly
2026-03-09,British Airways,BR5739,London,Riyadh,UK,Saudi Arabia,Boeing 777-200LR,121,Crew safety — company policy
2026-03-09,Ethiopian Airlines,ET645,Riyadh,London,Saudi Arabia,UK,Boeing 737 MAX 8,381,Insurance restriction — war zone
2026-03-09,Ethiopian Airlines,ET3686,Mumbai,Doha,India,Qatar,Boeing 777-300ER,263,Fuel supply disruption
2026-03-09,flydubai,FL6260,Delhi,Dubai,India,UAE,Boeing 777-300ER,134,Diplomatic advisory — do not fly
2026-03-09,Turkish Airlines,TU371,London,Abu Dhabi,UK,UAE,Boeing 737-800,357,Fuel supply disruption
2026-03-09,American Airlines,AM1674,Dubai,Cairo,UAE,Egypt,Boeing 777-200LR,348,Government travel ban
2026-03-09,IndiGo,IN4416,Sydney,Abu Dhabi,Australia,UAE,Airbus A330-300,334,Diplomatic advisory — do not fly
2026-03-09,Turkish Airlines,TU9775,Kuwait City,London,Kuwait,UK,Airbus A330-300,163,Government travel ban
2026-03-09,Ethiopian Airlines,ET995,Dubai,Karachi,UAE,Pakistan,Airbus A350-900,202,Diplomatic advisory — do not fly
2026-03-09,FedEx Express,FE207,Istanbul,Dubai,Turkey,UAE,Airbus A320neo,442,Insurance restriction — war zone
2026-03-09,Pakistan International Airlines,PA5164,Abu Dhabi,Sydney,UAE,Australia,Airbus A350-900,142,Airport closure — military activity
2026-03-09,Turkish Airlines,TU4224,Dubai,Paris,UAE,France,Boeing 737 MAX 8,315,Airport closure — military activity
2026-03-09,Air France,AI7564,Istanbul,Karachi,Turkey,Pakistan,Airbus A340-600,358,Airspace closure — NOTAM
2026-03-09,Air Arabia,AI2332,Paris,Beirut,France,Lebanon,Airbus A320neo,434,Insurance restriction — war zone
2026-03-09,Air France,AI8470,Amman,Dubai,Jordan,UAE,Boeing 737-800,420,Government travel ban
2026-03-09,Lufthansa,LU5651,Islamabad,Dubai,Pakistan,UAE,Boeing 777-200LR,343,Security risk — conflict zone
2026-03-09,EgyptAir,EG4149,London,Abu Dhabi,UK,UAE,Boeing 787-10 Dreamliner,230,Diplomatic advisory — do not fly
2026-03-09,Singapore Airlines,SI422,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A320neo,257,Security risk — conflict zone
2026-03-09,EgyptAir,EG7464,Muscat,London,Oman,UK,Airbus A380-800,439,Insurance restriction — war zone
2026-03-09,Delta Air Lines,DE3527,Paris,Doha,France,Qatar,Boeing 737-800,402,Fuel supply disruption
2026-03-09,Singapore Airlines,SI5200,Kuwait City,Cairo,Kuwait,Egypt,Boeing 737 MAX 8,149,Crew safety — company policy
2026-03-10,American Airlines,AM7162,Dubai,Sydney,UAE,Australia,Boeing 737 MAX 8,377,Security risk — conflict zone
2026-03-10,United Airlines,UN7977,Dubai,Karachi,UAE,Pakistan,Airbus A320neo,102,Airport closure — military activity
2026-03-10,IndiGo,IN8990,Sydney,Dubai,Australia,UAE,Boeing 787-9 Dreamliner,98,Security risk — conflict zone
2026-03-10,Oman Air,OM990,Lahore,Doha,Pakistan,Qatar,Boeing 737-800,144,Security risk — conflict zone
2026-03-10,Singapore Airlines,SI8557,Doha,Mumbai,Qatar,India,Boeing 777-300ER,171,Government travel ban
2026-03-10,Oman Air,OM1342,Mumbai,Kuwait City,India,Kuwait,Boeing 777-200LR,404,Security risk — conflict zone
2026-03-10,FedEx Express,FE7093,London,Kuwait City,UK,Kuwait,Boeing 777-200LR,298,Fuel supply disruption
2026-03-10,Lufthansa,LU6129,Karachi,Dubai,Pakistan,UAE,Airbus A350-900,391,Fuel supply disruption
2026-03-10,Air France,AI3596,Paris,Beirut,France,Lebanon,Airbus A330-300,430,Airspace closure — NOTAM
2026-03-10,Lufthansa,LU9775,Doha,Paris,Qatar,France,Boeing 777-200LR,327,Airspace closure — NOTAM
2026-03-10,Turkish Airlines,TU5842,Doha,Paris,Qatar,France,Airbus A320neo,334,Insurance restriction — war zone
2026-03-10,Jazeera Airways,JA4386,Dubai,Mumbai,UAE,India,Boeing 737 MAX 8,137,Airspace closure — NOTAM
2026-03-10,FedEx Express,FE747,Dubai,Singapore,UAE,Singapore,Airbus A330-300,154,Fuel supply disruption
2026-03-10,Etihad Airways,ET8705,Cairo,Kuwait City,Egypt,Kuwait,Boeing 737 MAX 8,324,Fuel supply disruption
2026-03-10,Lufthansa,LU435,New York,Dubai,USA,UAE,Airbus A380-800,410,Crew safety — company policy
2026-03-10,KLM,KL713,Abu Dhabi,Sydney,UAE,Australia,Airbus A340-600,398,Crew safety — company policy
2026-03-10,Kuwait Airways,KU8684,Riyadh,London,Saudi Arabia,UK,Airbus A350-900,297,Security risk — conflict zone
2026-03-10,flydubai,FL5619,Istanbul,Delhi,Turkey,India,Airbus A340-600,416,Fuel supply disruption
2026-03-10,British Airways,BR4400,New York,Dubai,USA,UAE,Boeing 777-300ER,423,Airspace closure — NOTAM
2026-03-10,Jazeera Airways,JA5787,Amman,Dubai,Jordan,UAE,Boeing 737 MAX 8,230,Fuel supply disruption
2026-03-10,Cargolux,CA4835,Sydney,Abu Dhabi,Australia,UAE,Boeing 777-300ER,271,Crew safety — company policy
2026-03-10,Mahan Air,MA4560,Moscow,Tehran,Russia,Iran,Airbus A320neo,302,Security risk — conflict zone
2026-03-10,Cargolux,CA6152,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 787-9 Dreamliner,364,Crew safety — company policy
2026-03-10,Malaysia Airlines,MA890,Islamabad,Dubai,Pakistan,UAE,Airbus A340-600,423,Government travel ban
2026-03-10,Kuwait Airways,KU5157,London,Kuwait City,UK,Kuwait,Airbus A321neo,207,Diplomatic advisory — do not fly
2026-03-10,Pakistan International Airlines,PA5343,Bahrain,London,Bahrain,UK,Boeing 737-800,307,Airport closure — military activity
2026-03-10,Air France,AI3186,Doha,London,Qatar,UK,Airbus A321neo,431,Government travel ban
2026-03-10,American Airlines,AM4794,Dubai,Islamabad,UAE,Pakistan,Boeing 787-9 Dreamliner,437,Government travel ban
2026-03-10,Delta Air Lines,DE8312,Doha,Paris,Qatar,France,Boeing 787-10 Dreamliner,208,Diplomatic advisory — do not fly
2026-03-10,Thai Airways,TH7777,Mumbai,Kuwait City,India,Kuwait,Airbus A320neo,264,Fuel supply disruption
2026-03-10,Saudi Arabian Airlines,SA3993,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 737-800,268,Airport closure — military activity
2026-03-10,Qatar Airways,QA7737,Mumbai,Kuwait City,India,Kuwait,Boeing 737-800,343,Security risk — conflict zone
2026-03-10,United Airlines,UN3224,Doha,London,Qatar,UK,Boeing 737 MAX 8,328,Government travel ban
2026-03-10,British Airways,BR7230,Frankfurt,Dubai,Germany,UAE,Boeing 787-10 Dreamliner,245,Insurance restriction — war zone
2026-03-10,Air Arabia,AI6763,Dubai,Istanbul,UAE,Turkey,Boeing 777-200LR,157,Insurance restriction — war zone
2026-03-10,Pakistan International Airlines,PA9300,Islamabad,Riyadh,Pakistan,Saudi Arabia,Boeing 787-9 Dreamliner,347,Diplomatic advisory — do not fly
2026-03-10,Mahan Air,MA7698,Karachi,Dubai,Pakistan,UAE,Boeing 777-200LR,112,Fuel supply disruption
2026-03-10,Mahan Air,MA8571,Dubai,Karachi,UAE,Pakistan,Boeing 787-10 Dreamliner,335,Airspace closure — NOTAM
2026-03-10,Iran Air,IR5420,London,Doha,UK,Qatar,Airbus A330-300,114,Diplomatic advisory — do not fly
2026-03-10,Qatar Airways,QA2551,Doha,Mumbai,Qatar,India,Airbus A340-600,169,Insurance restriction — war zone
2026-03-10,Air France,AI8925,Bahrain,Dubai,Bahrain,UAE,Airbus A340-600,230,Diplomatic advisory — do not fly
2026-03-10,Etihad Airways,ET4111,Dubai,New York,UAE,USA,Boeing 737 MAX 8,296,Government travel ban
2026-03-10,Jazeera Airways,JA8937,Frankfurt,Dubai,Germany,UAE,Airbus A350-900,145,Diplomatic advisory — do not fly
2026-03-10,Iran Air,IR7328,Doha,Lahore,Qatar,Pakistan,Airbus A320neo,246,Crew safety — company policy
2026-03-10,Lufthansa,LU7874,Los Angeles,Doha,USA,Qatar,Boeing 787-9 Dreamliner,410,Security risk — conflict zone
2026-03-10,Singapore Airlines,SI6649,Paris,Beirut,France,Lebanon,Airbus A340-600,168,Airspace closure — NOTAM
2026-03-11,Air India,AI1765,Tehran,Moscow,Iran,Russia,Airbus A321neo,360,Airspace closure — NOTAM
2026-03-11,Emirates SkyCargo,EM6358,Frankfurt,Dubai,Germany,UAE,Airbus A320neo,287,Government travel ban
2026-03-11,Pakistan International Airlines,PA9584,London,Doha,UK,Qatar,Airbus A330-300,226,Security risk — conflict zone
2026-03-11,Emirates,EM2542,Abu Dhabi,London,UAE,UK,Boeing 737-800,124,Crew safety — company policy
2026-03-11,British Airways,BR8775,Istanbul,Dubai,Turkey,UAE,Airbus A330-300,151,Airport closure — military activity
2026-03-11,KLM,KL7701,Cairo,Riyadh,Egypt,Saudi Arabia,Boeing 787-9 Dreamliner,92,Airspace closure — NOTAM
2026-03-11,Etihad Airways,ET3665,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 777-200LR,155,Airport closure — military activity
2026-03-11,Pakistan International Airlines,PA7830,New York,Dubai,USA,UAE,Airbus A330-300,349,Government travel ban
2026-03-11,flydubai,FL9113,Moscow,Tehran,Russia,Iran,Boeing 787-9 Dreamliner,151,Airspace closure — NOTAM
2026-03-11,Saudi Arabian Airlines,SA1714,Dubai,Frankfurt,UAE,Germany,Boeing 777-300ER,288,Insurance restriction — war zone
2026-03-11,Gulf Air,GU8692,Moscow,Tehran,Russia,Iran,Airbus A320neo,107,Airport closure — military activity
2026-03-11,Air Arabia,AI5760,Istanbul,Delhi,Turkey,India,Airbus A320neo,98,Airport closure — military activity
2026-03-11,Air Arabia,AI2894,Riyadh,London,Saudi Arabia,UK,Airbus A321neo,345,Diplomatic advisory — do not fly
2026-03-11,Malaysia Airlines,MA1323,Mumbai,Dubai,India,UAE,Boeing 777-300ER,267,Security risk — conflict zone
2026-03-11,Cathay Pacific,CA9364,Dubai,Amman,UAE,Jordan,Boeing 737-800,296,Airport closure — military activity
2026-03-11,Ethiopian Airlines,ET3168,Cairo,Kuwait City,Egypt,Kuwait,Boeing 737-800,235,Fuel supply disruption
2026-03-11,Gulf Air,GU6410,Frankfurt,Dubai,Germany,UAE,Airbus A321neo,374,Insurance restriction — war zone
2026-03-11,Cargolux,CA6728,Dubai,Frankfurt,UAE,Germany,Airbus A330-300,436,Airport closure — military activity
2026-03-11,Oman Air,OM2277,London,Dubai,UK,UAE,Airbus A330-300,143,Fuel supply disruption
2026-03-11,Emirates,EM1960,Dubai,London,UAE,UK,Airbus A320neo,433,Crew safety — company policy
2026-03-11,Kuwait Airways,KU3301,Tehran,Beijing,Iran,China,Airbus A380-800,194,Security risk — conflict zone
2026-03-11,IndiGo,IN6826,Cairo,Kuwait City,Egypt,Kuwait,Airbus A380-800,328,Airspace closure — NOTAM
2026-03-11,Mahan Air,MA4416,Karachi,Dubai,Pakistan,UAE,Boeing 777-300ER,134,Government travel ban
2026-03-11,Air France,AI4650,New York,Doha,USA,Qatar,Airbus A320neo,161,Fuel supply disruption
2026-03-11,Thai Airways,TH7685,Moscow,Tehran,Russia,Iran,Airbus A350-900,432,Government travel ban
2026-03-11,Thai Airways,TH5977,Frankfurt,Dubai,Germany,UAE,Boeing 787-10 Dreamliner,158,Diplomatic advisory — do not fly
2026-03-11,Air Arabia,AI5386,London,Muscat,UK,Oman,Airbus A340-600,427,Diplomatic advisory — do not fly
2026-03-11,FedEx Express,FE2734,Tehran,Istanbul,Iran,Turkey,Airbus A380-800,235,Government travel ban
2026-03-11,Oman Air,OM2304,Karachi,Istanbul,Pakistan,Turkey,Boeing 777-200LR,438,Insurance restriction — war zone
2026-03-11,EgyptAir,EG853,Muscat,London,Oman,UK,Airbus A321neo,109,Airspace closure — NOTAM
2026-03-11,American Airlines,AM8067,Doha,Mumbai,Qatar,India,Boeing 777-200LR,344,Fuel supply disruption
2026-03-11,Pakistan International Airlines,PA6422,Doha,Paris,Qatar,France,Airbus A350-900,424,Diplomatic advisory — do not fly
2026-03-11,Delta Air Lines,DE9017,Dubai,Delhi,UAE,India,Airbus A340-600,190,Airport closure — military activity
2026-03-11,IndiGo,IN2595,Istanbul,Karachi,Turkey,Pakistan,Airbus A380-800,138,Airspace closure — NOTAM
2026-03-11,Emirates,EM9701,Singapore,Dubai,Singapore,UAE,Airbus A340-600,437,Airport closure — military activity
2026-03-11,Delta Air Lines,DE5707,Dubai,Singapore,UAE,Singapore,Airbus A320neo,183,Airport closure — military activity
2026-03-11,Thai Airways,TH5157,Mumbai,Dubai,India,UAE,Airbus A380-800,91,Fuel supply disruption
2026-03-11,Mahan Air,MA5437,Karachi,Dubai,Pakistan,UAE,Airbus A320neo,413,Diplomatic advisory — do not fly
2026-03-11,Qatar Airways,QA9988,Bahrain,London,Bahrain,UK,Airbus A340-600,168,Insurance restriction — war zone
2026-03-11,Lufthansa,LU1592,Riyadh,London,Saudi Arabia,UK,Airbus A380-800,216,Security risk — conflict zone
2026-03-11,Gulf Air,GU1998,Kuwait City,London,Kuwait,UK,Boeing 787-9 Dreamliner,261,Insurance restriction — war zone
2026-03-11,DHL Aviation,DH8316,Tehran,Beijing,Iran,China,Airbus A320neo,105,Security risk — conflict zone
2026-03-11,Lufthansa,LU3339,Riyadh,London,Saudi Arabia,UK,Airbus A380-800,316,Government travel ban
2026-03-11,Ethiopian Airlines,ET5944,Karachi,Dubai,Pakistan,UAE,Boeing 737-800,290,Government travel ban
2026-03-11,Lufthansa,LU6652,London,Muscat,UK,Oman,Boeing 737-800,191,Airspace closure — NOTAM
2026-03-11,Cargolux,CA8087,Cairo,Kuwait City,Egypt,Kuwait,Airbus A340-600,286,Crew safety — company policy
2026-03-11,Ethiopian Airlines,ET7959,London,Bahrain,UK,Bahrain,Boeing 737-800,330,Government travel ban
2026-03-11,Singapore Airlines,SI2294,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 787-9 Dreamliner,105,Insurance restriction — war zone
2026-03-11,Cathay Pacific,CA2343,Bahrain,London,Bahrain,UK,Boeing 737 MAX 8,250,Crew safety — company policy
2026-03-11,Qatar Airways,QA6077,Islamabad,Dubai,Pakistan,UAE,Boeing 777-300ER,275,Airspace closure — NOTAM
2026-03-11,FedEx Express,FE3199,London,Singapore,UK,Singapore,Boeing 737-800,144,Crew safety — company policy
